GVKEY,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,at,ch,dt,ebit,fincf,ivncf,ni,oancf,tfva,costat
001166,20131231,2013,INDL,C,D,STD,USD,2137.4660,430.5070,0,60.1960,-423.1600,392.2740,1449.4030,66.8900,1338.1210,A
001166,20141231,2014,INDL,C,D,STD,USD,2210.7720,466.8290,0,109.6540,-45.8020,-38.4620,166.1560,133.5830,,A
001173,20110131,2010,INDL,C,D,STD,USD,23.6780,0.1620,6.24,1.8710,0.5590,-0.9080,0.6250,0.5110,,I
001173,20120131,2011,INDL,C,D,STD,USD,23.0350,0.1570,5.031,1.3410,-0.4610,-1.0680,0.3920,1.5240,,I
001173,20130131,2012,INDL,C,D,STD,USD,23.3240,0.0000,5.177,1.7780,-2.9660,0.6150,2.5220,2.1940,,I
001177,20101231,2010,INDL,C,D,STD,USD,37739.4000,1867.6000,4382.5,2856.1000,-1382.6000,634.5000,1766.8000,1412.1000,16964.2000,A
001177,20111231,2011,INDL,C,D,STD,USD,38593.1000,679.7000,3977.7,3461.7000,-1815.5000,-1880.2000,1985.7000,2507.8000,17392.8000,A
001177,20121231,2012,INDL,C,D,STD,USD,41494.5000,2579.2000,6481.3,3034.3000,308.8000,-231.3000,1657.9000,1822.0000,18836.7000,A
001177,20131231,2013,INDL,C,D,STD,USD,49871.8000,1412.3000,8252.6,3505.9000,-1525.8000,-1919.8000,1913.6000,2278.7000,19779.5000,A
001177,20141231,2014,INDL,C,D,STD,USD,53402.1000,1420.4000,8081.3,4219.7000,-1235.0000,-2129.7000,2040.8000,3372.8000,21442.0000,A
001177,20151231,2015,INDL,C,D,STD,USD,53424.1000,2524.3000,7828,4762.9000,-1734.7000,-1027.5000,2390.2000,3866.1000,21342.7000,A
001177,20161231,2016,INDL,C,D,STD,USD,69146.0000,17996.0000,20661,5229.0000,12134.0000,-381.0000,2271.0000,3719.0000,21742.0000,A
001186,20101231,2010,INDL,C,D,STD,USD,5500.3510,95.5600,698.611,409.3530,-21.9450,-523.3060,332.1160,483.4700,219.8780,A
001186,20111231,2011,INDL,C,D,STD,USD,5034.2620,179.4470,957.347,-716.4040,182.5450,-760.4840,-568.8950,663.4620,228.9550,A
001186,20121231,2012,INDL,C,D,STD,USD,5255.8420,298.0680,855.063,511.5000,-202.6060,-376.1560,310.9160,696.0070,114.5810,A
001186,20131231,2013,INDL,C,D,STD,USD,4959.3590,139.1010,1023.878,-77.5940,48.7290,-644.4730,-406.5260,438.2960,147.4710,A
001186,20141231,2014,INDL,C,D,STD,USD,6840.5380,177.5370,1417.922,287.1190,229.2360,-851.6190,82.9700,668.3240,121.0610,A
001186,20151231,2015,INDL,C,D,STD,USD,6683.1800,124.1500,1151.774,168.0350,-280.7600,-374.5190,24.5830,616.2380,39.6640,A
001186,20161231,2016,INDL,C,D,STD,USD,7107.9510,539.9740,1214.54,355.6920,190.3860,-553.4900,158.8240,778.6170,100.8590,A
001209,20100930,2010,INDL,C,D,STD,USD,13505.9000,374.3000,3842.3,1443.0000,-579.7000,-1056.5000,1029.1000,1522.4000,218.0000,A
001209,20110930,2011,INDL,C,D,STD,USD,14290.7000,422.5000,3999.7,1628.0000,-484.5000,-1212.2000,1224.2000,1753.2000,118.2000,A
001209,20120930,2012,INDL,C,D,STD,USD,16941.8000,454.4000,4658.5,1489.6000,-78.4000,-1669.8000,1167.3000,1798.7000,127.6000,A
001209,20130930,2013,INDL,C,D,STD,USD,17850.1000,450.4000,5563.7,1508.3000,115.4000,-1698.2000,994.2000,1567.4000,125.9000,A
001209,20140930,2014,INDL,C,D,STD,USD,17779.1000,336.6000,4889.8,1603.7000,-661.4000,-1628.2000,991.7000,2187.1000,171.7000,A
001209,20150930,2015,INDL,C,D,STD,USD,17438.1000,206.4000,4384.7,1870.3000,-945.4000,-1599.7000,1277.9000,2437.8000,318.9000,A
001209,20160930,2016,INDL,C,D,STD,USD,18055.3000,1501.3000,5289.4,2140.4000,-271.1000,-1069.0000,631.1000,2627.5000,375.3000,A
001209,20170930,2017,INDL,C,D,STD,USD,18467.2000,3273.6000,3818.8,1660.8000,-1971.4000,2332.9000,3000.4000,1567.9000,227.8000,A
001210,20110331,2010,INDL,C,D,STD,USD,34.2210,6.5150,0.008,3.3360,-0.8150,2.0690,2.1380,-4.5170,0.0510,A
001210,20120331,2011,INDL,C,D,STD,USD,35.0830,5.8140,0,2.0520,-0.5480,-0.9060,1.3500,0.7520,,A
001210,20130331,2012,INDL,C,D,STD,USD,36.0550,9.1970,0,2.7320,-0.6120,-0.3670,1.6700,4.3620,,A
001210,20140331,2013,INDL,C,D,STD,USD,37.2210,3.7590,0,2.6090,-2.1810,-2.7030,1.4670,-0.5550,1.4610,A
001210,20150331,2014,INDL,C,D,STD,USD,43.4560,14.1640,5,2.5480,5.0200,-2.5860,2.4840,7.9720,5.2790,A
001210,20160331,2015,INDL,C,D,STD,USD,52.1550,5.3450,0.005,6.2850,-5.9940,-5.2660,4.4140,3.2150,9.6560,A
001210,20170331,2016,INDL,C,D,STD,USD,65.3350,2.7630,18.413,-1.4410,8.6880,-3.7000,-3.2140,-7.5540,4.5940,A
001228,20100630,2010,INDL,C,D,STD,USD,20.4960,0.4010,6.352,-1.6930,3.6500,0.0240,-9.1280,-3.6870,,A
001228,20110630,2011,INDL,C,D,STD,USD,7.6160,0.7830,0,-1.3810,-1.2570,3.0270,-0.0580,-1.3870,,A
001230,20101231,2010,INDL,C,D,STD,USD,5016.6000,89.5000,1534.2,484.8000,-333.2000,-295.2000,251.1000,553.7000,1208.2000,A
001230,20111231,2011,INDL,C,D,STD,USD,5195.0000,102.2000,1306.9,487.8000,-280.0000,-403.3000,244.5000,696.0000,1155.6000,A
001230,20121231,2012,INDL,C,D,STD,USD,5505.0000,122.0000,1032,532.0000,-88.0000,-645.0000,316.0000,753.0000,1195.0000,A
001230,20131231,2013,INDL,C,D,STD,USD,5838.0000,80.0000,871,646.0000,-325.0000,-698.0000,508.0000,981.0000,1266.0000,A
001230,20141231,2014,INDL,C,D,STD,USD,6181.0000,107.0000,803,932.0000,-462.0000,-541.0000,605.0000,1030.0000,1117.0000,A
001230,20151231,2015,INDL,C,D,STD,USD,6533.0000,73.0000,686,1330.0000,-688.0000,-930.0000,848.0000,1584.0000,1259.0000,A
001230,20161231,2016,INDL,C,D,STD,USD,9962.0000,328.0000,2964,1466.0000,1491.0000,-2622.0000,814.0000,1386.0000,1272.0000,A
001234,20101231,2010,INDL,C,D,STD,USD,134.6520,10.6700,0,30.9770,-21.6720,-19.5930,20.9520,31.2410,31.7660,A
001234,20111231,2011,INDL,C,D,STD,USD,161.8950,24.5900,0,38.1680,-5.1880,-11.6080,26.0380,30.7160,30.5960,A
001234,20121231,2012,INDL,C,D,STD,USD,155.8100,7.9990,0,33.6260,-28.7970,-17.1630,23.6290,29.3690,37.3160,A
001234,20131231,2013,INDL,C,D,STD,USD,172.0660,28.5590,0,37.9440,-14.0020,-2.0140,26.5820,36.5760,28.9390,A
001234,20141231,2014,INDL,C,D,STD,USD,171.5140,20.7750,0,40.8170,-29.1960,-9.8110,27.8080,31.2230,21.2350,A
001234,20151231,2015,INDL,C,D,STD,USD,164.3360,28.3460,0,42.5100,-36.7650,3.9090,28.9250,40.4270,5.5690,A
001234,20161231,2016,INDL,C,D,STD,USD,182.5930,20.0220,0,39.1260,-9.4990,-36.2280,27.5810,37.4030,33.7470,A
