"","Company code","Report date","Fiscal year","Earnings","Cash Flow","Leverage Ratio(Book-based)","Leverage Ration(Market-based)"
"4964",8272,20141231,2014,1162,-327,NA,NA
"4965",8272,20151231,2015,1350,-153,NA,NA
"4966",8272,20161231,2016,1371,-54,NA,NA
"4967",8304,20100731,2010,241.248,88.463,0.247834764598168,9.20745952507773
"4968",8304,20110731,2011,315.496,10.261,0.152351986872977,5.0724092823962
"4969",8304,20120731,2012,319.309,-8.19900000000001,0.146706942756815,5.82749783467603
"4970",8304,20130731,2013,574.935,439.294,0.134684907650484,6.02453663751465
"4971",8304,20140731,2014,363.956,17.4909999999999,0.120384019469889,5.69412761359869
"4972",8307,20121130,2012,NA,NA,NA,NA
"4973",8307,20131130,2013,NA,NA,NA,NA
"4974",8307,20141130,2014,NA,NA,NA,NA
"4975",8307,20151130,2015,NA,NA,NA,NA
"4976",8307,20161130,2016,NA,NA,NA,NA
"4977",8307,20171130,2017,NA,NA,NA,NA
"4978",8333,20101231,2010,92.731,97.006,0,0
"4979",8333,20111231,2011,-26.145,-56.158,0.280664385892113,1.8639310136549
"4980",8333,20121231,2012,NA,NA,NA,NA
"4981",8333,20131231,2013,-105.871,91.216,0.582930342296258,21.8636719138831
"4982",8333,20141231,2014,-105.517,114.36,0.638006819782557,19.1853362932741
"4983",8334,20101231,2010,3.123,3.251,0.0308763904771806,Inf
"4984",8334,20111231,2011,-15.532,1.061,0.0236581768627688,Inf
"4985",8334,20121231,2012,-0.315,11.635,0.0100432270835858,NA
"4986",8334,20131231,2013,0.358,-9.125,0.00922490383633455,NA
"4987",8334,20141231,2014,-3.651,1.096,0.0417998936611871,Inf
"4988",8334,20151231,2015,-0.891,-0.681,0.0231458998196198,Inf
"4989",8334,20161231,2016,1.783,1.747,0.0045457831035009,Inf
"4990",8335,20130331,2012,NA,NA,NA,NA
"4991",8335,20140331,2013,NA,NA,NA,NA
"4992",8335,20150331,2014,NA,NA,NA,NA
"4993",8335,20160331,2015,NA,NA,NA,NA
"4994",8335,20170331,2016,NA,NA,NA,NA
"4995",8348,20110228,2010,32.621,-21.832,0,0
"4996",8348,20120229,2011,23.442,17.47,0,0
"4997",8348,20130228,2012,16.961,56.503,0.140670565766195,0.583620467120843
"4998",8348,20140228,2013,-42.329,-52.829,0.275794034893249,0.757984344707957
"4999",8348,20150228,2014,20.043,8.544,0.268049115723077,0.719782533787664
"5000",8348,20160229,2015,18.029,-43.564,0.238263913818354,0.53698771372111
"5001",8348,20170228,2016,9.283,4.552,0.233328364303353,0.528820729772607
"5002",8350,20101231,2010,15.187,12.213,0.572298075043617,NA
"5003",8350,20111231,2011,29.435,42.69,0.566146528976773,NA
"5004",8350,20121231,2012,31.786,-33.83,0.521149982108943,NA
"5005",8350,20131231,2013,43.4,9.9,0.468547697569317,NA
"5006",8350,20141231,2014,45.6,5.8,0.455553274481626,NA
"5007",8350,20151231,2015,48.1,8.90000000000001,0.513205155292626,NA
"5008",8350,20161231,2016,31.7,3.80000000000001,0.477060453659037,NA
"5009",8357,20101231,2010,-14.461,-57.372,0.371001643710942,NA
"5010",8357,20111231,2011,-50.451,46.438,0.396895858239205,NA
"5011",8357,20121231,2012,37.313,-9.98299999999998,0.381613766620771,NA
"5012",8357,20131231,2013,27.015,60.803,0.425983674277866,NA
"5013",8357,20141231,2014,23.451,-40.233,0.404429921501139,NA
"5014",8357,20151231,2015,-95.073,25.838,0.424866221610221,NA
"5015",8357,20161231,2016,-230.814,-14.603,0.522246819585139,NA
"5016",8358,20100630,2010,554.065,422.653,0.177505468507672,340.524003097174
"5017",8358,20110630,2011,1049.13,6.2170000000001,0.162247509714742,2768.58463949843
"5018",8358,20120630,2012,1151.823,331.097,0.154833602231349,397.32023891569
"5019",8358,20130630,2013,948.427,957.264,0.119476372425643,NA
"5020",8358,20140630,2014,1041.048,-216.623,0.113650509154414,435.14219786559
"5021",8358,20150630,2015,1012.14,-321.966,0.239698505990669,12.2389481596532
"5022",8358,20160630,2016,806.84,102.781,0.2266898393247,4.57613866011228
"5023",8358,20170630,2017,983.412,-280.049,0.344492774132106,143.033747017986
"5024",8363,20101231,2010,-2.618,-1.027,0.553809296356759,Inf
"5025",8363,20111231,2011,-126.903,55.513,0.385251336695775,Inf
"5026",8363,20121231,2012,-39.395,6.67300000000002,0.45522972436433,Inf
"5027",8363,20131231,2013,-19.65,-23.178,0.478719029663637,21.8141929253438
"5028",8363,20141231,2014,42.943,57.563,0.491522422513587,15.0754621695684
"5029",8363,20151231,2015,67.335,-41.28,0.494119889976749,NA
"5030",8386,20101231,2010,1.226,1.897,0.226993865030675,Inf
"5031",8386,20111231,2011,8.47,-1.407,0.38421359449691,Inf
"5032",8386,20121231,2012,28.095,-0.116,0.349657417281782,Inf
"5033",8386,20131231,2013,24.04,-0.399999999999999,0.315752610699995,NA
"5034",8386,20141231,2014,30.674,0.0890000000000057,0.395420271481173,NA
"5035",8386,20151231,2015,42.219,-0.0360000000000014,0.529684055650967,NA
"5036",8386,20161231,2016,55.577,6.36200000000001,0.509537339938312,NA
"5037",8387,20101231,2010,-262.12,-107.328,0.52101863290484,8.61357247692729
"5038",8387,20111231,2011,-31.758,-14.441,0.656680234264351,10.0224126332189
"5039",8387,20121231,2012,-84.202,-2.15900000000002,0.74008602458403,267.609882352941
"5040",8387,20131231,2013,-95.186,48.032,0.498380744252027,64.0286166424898
"5041",8387,20141231,2014,-353.136,-49.212,0.7874187482171,12.129890353684
"5042",8387,20151231,2015,-479.424,11.774,4.75486243723036,Inf
"5043",8402,20110531,2010,515.3,-165.3,0,0
"5044",8402,20120531,2011,548,-10.1999999999999,0,0
"5045",8402,20130531,2012,569,-1.5,0,0
"5046",8402,20140531,2013,627.5,45.1999999999999,0,0
"5047",8402,20150531,2014,674.9,17.5,0,0
"5048",8402,20160531,2015,756.8,-38.5,0,0
"5049",8402,20170531,2016,817.3,53.1,0,0
"5050",8423,20100630,2010,-4.163,6.16,0.141325542874316,20221
"5051",8423,20110630,2011,5.749,-12.334,0.0893404117718127,NA
"5052",8423,20120630,2012,-0.976,40.269,0,NA
"5053",8423,20130630,2013,-2.08,0.776999999999998,0.0484090366496216,54.49375
"5054",8423,20140630,2014,-38.384,-26.525,0.0990114996142875,Inf
"5055",8423,20150630,2015,-8.472,-7.787,0.0871299071344612,Inf
"5056",8431,20101231,2010,479,-21,0.029333826338818,0.040233285436565
"5057",8431,20111231,2011,343,225,0.0325731091504356,0.0437211380902726
"5058",8431,20121231,2012,488,381,0.0304562048454214,0.0406945012962205
"5059",8431,20131231,2013,471,-66,0.0321476940622995,0.042591368401171
"5060",8431,20141231,2014,452,-296,0.0315767329336279,0.0408013482657388
"5061",8431,20151231,2015,352,-123,0.0362020898934997,0.0460988379517303
"5062",8431,20161231,2016,649,887,0.0402745496804184,0.0524114463952362
"5063",8440,20101231,2010,-8.423,41.894,0.260483389900237,18.6590046782333
"5064",8440,20111231,2011,-132.915,-113.399,0.358871837258171,31.5880860702152
"5065",8440,20121231,2012,-104.589,10.138,0.322714351523531,30.1754946727549
"5066",8440,20131231,2013,-143.07,5.82400000000001,0.510951554533209,140.522158841597
"5067",8440,20141231,2014,-409.592,-17.222,0.498555088540689,6.56800847332264
"5068",8440,20151231,2015,-1582.961,5.70300000000003,2.36492925781061,11.9944650711704
"5069",8446,20110131,2010,389,-389,0.237616929918724,12.2490118577075
"5070",8446,20120131,2011,-152,-1115,0.271533613445378,9.23214285714286
"5071",8446,20130131,2012,-985,-577,0.304876801962989,90.3636363636364
"5072",8446,20140131,2013,-1388,585,0.419540716888399,Inf
"5073",8446,20150131,2014,-771,-197,0.520569011918493,NA
"5074",8446,20160131,2015,-513,-418,0.508896420249947,NA
"5075",8446,20170131,2016,1,-13,0.51921838093193,NA
"5076",8455,20101231,2010,938,111,NA,NA
"5077",8455,20111231,2011,1495,322,NA,NA
"5078",8455,20121231,2012,1526,-311,NA,NA
"5079",8455,20131231,2013,1130,193,NA,NA
"5080",8455,20141231,2014,1737,657,NA,NA
"5081",8455,20151231,2015,682,-553,NA,NA
"5082",8455,20161231,2016,1902,-467,NA,NA
"5083",8457,20101231,2010,-51.927,-31.916,0.72255014988067,Inf
"5084",8457,20111231,2011,-90.161,-20.529,0.743038923750298,Inf
"5085",8457,20121231,2012,-40.837,12.192,0.660285012913431,Inf
"5086",8457,20131231,2013,35.859,0.240000000000009,0.600552273410283,NA
"5087",8457,20141231,2014,-13.83,6.203,0.60556175269313,NA
"5088",8457,20151231,2015,-116.683,-17.578,0.637977834439568,NA
"5089",8457,20161231,2016,-11.348,-13.052,0.675206509244766,NA
"5090",8463,20101231,2010,197.828,19.472,0.176804621982503,Inf
"5091",8463,20111231,2011,34.222,15.693,0.284627978945179,56.7883151346413
"5092",8463,20121231,2012,-107.186,211.231,0.208334820506216,97.0603523185086
"5093",8463,20131231,2013,536.8,-15,0.217579385692267,71.5714285714286
"5094",8463,20141231,2014,214.9,-115,0.2819374577671,60.5665322580645
"5095",8463,20151231,2015,-76.4,60.0999999999999,0.397233701610863,92.5343811394892
"5096",8463,20161231,2016,522.2,139.5,0.370981724867358,80.1348314606741
"5097",8475,20110131,2010,36.631,50.914,0.190278363071989,2.96562806624081
"5098",8475,20120131,2011,28.903,-31.996,0.180637650502302,3.73118741782138
"5099",8475,20130131,2012,12.81,0.941999999999993,0.124692243955388,2.38239883738937
"5100",8475,20140131,2013,6.865,-25.755,0.12550755817104,3.36450158624144
"5101",8475,20150131,2014,-27.293,4.613,0.138155500826663,3.32620203944595
"5102",8479,20101231,2010,6320,2166,0.295100729241559,16.1024819855885
"5103",8479,20111231,2011,6443,-1809,0.317183941165171,32.1963788300836
"5104",8479,20121231,2012,6178,2168,0.35431013692757,35.7848443843031
"5105",8479,20131231,2013,6740,3274,0.342768269702367,39.6965620328849
"5106",8479,20141231,2014,6513,-2695,0.395935270674666,7.30620256477362
"5107",8479,20151231,2015,5452,3183,0.463949933253908,4.11902637950809
"5108",8479,20161231,2016,6329,314,0.464784362395284,2.90726520968695
"5109",8486,20101231,2010,103.5,123.069,0.142372320291305,0.678604320124853
"5110",8486,20111231,2011,86.148,-267.138,0.186128802004469,2.11519432850749
"5111",8486,20121231,2012,-265.4,-36.184,0.223603859956741,2.6545635270772
"5112",8486,20131231,2013,87.296,-48.133,0.216011005940359,3.14905449068651
"5113",8486,20141231,2014,107.936,15.66,0.229336538295902,4.0593450512954
"5114",8486,20151231,2015,45.292,-60.131,0.203700684809005,5.05582946012488
"5115",8486,20161231,2016,95.822,70.651,0.188063992155736,3.06414575205851
"5116",8493,20101231,2010,64.117,NA,0,NA
"5117",8493,20111231,2011,63.409,NA,0,NA
"5118",8493,20121231,2012,53.983,NA,0,NA
"5119",8493,20131231,2013,40.52,NA,0,NA
"5120",8493,20141231,2014,47.717,NA,0,NA
"5121",8493,20151231,2015,16.05,NA,0,NA
"5122",8493,20161231,2016,19.349,NA,0,NA
"5123",8512,20101231,2010,6.214,22.428,0.212878005233849,3.38258004735921
"5124",8512,20111231,2011,13.437,-46.134,0.313401315072688,5.21804400690304
"5125",8512,20121231,2012,-130.712,-5.78100000000001,0.3703531985146,11.4820364870598
"5126",8512,20131231,2013,-22.301,190.786,0.324406985373812,80.3854153921449
"5127",8512,20141231,2014,155.435,-177.177,0.284083743059436,2.21409258309636
"5128",8512,20151231,2015,-68.28,-15.2160000000001,0.270983061686711,2.41453357690024
"5129",8512,20161231,2016,-245.928,243.25,0.233215525647136,93.6000715755569
"5130",8515,20101231,2010,7.117,1.12700000000001,0.350291332809248,2.15516309831466
"5131",8515,20101231,2010,7.117,1.12700000000001,0.350291332809248,2.15516309831466
"5132",8515,20111231,2011,4.852,1.463,0.358920770184995,3.36510298150417
"5133",8515,20111231,2011,4.852,1.463,0.358920770184995,3.36510298150417
"5134",8515,20121231,2012,18.057,-2.242,0.336925709168268,5.68983272770071
"5135",8515,20121231,2012,18.057,-2.242,0.336925709168268,5.68983272770071
"5136",8515,20131231,2013,58.956,-1.91499999999999,0.323014208363767,3.69000097361503
"5137",8515,20131231,2013,58.956,-1.91499999999999,0.323014208363767,3.69000097361503
"5138",8515,20141231,2014,32.688,5.33599999999998,0.394599151212139,2.67336238091721
"5139",8515,20141231,2014,32.688,5.33599999999998,0.394599151212139,2.67336238091721
"5140",8515,20151231,2015,26.924,-3.863,0.389769647885945,1.8450917250532
"5141",8515,20151231,2015,26.924,-3.863,0.389769647885945,1.8450917250532
"5142",8515,20161231,2016,-26.68,0.189,0.435811631824584,2.06814339632532
"5143",8515,20161231,2016,-26.68,0.189,0.435811631824584,2.06814339632532
"5144",8530,20101231,2010,8257,-212,0.214917903330017,1.17915822642359
